t, r_obox_x, r_obox_y, r_obox_phi
1.490000039339065552e-01, 1.760811052520239173e-08, 1.999952346086502075e-01, -2.385962361017845978e-08
1.500000059604644775e-01, 1.760801637828990351e-08, 1.999952346086502075e-01, -2.385925412795586453e-08
1.510000079870223999e-01, 1.760791690230689710e-08, 1.999952346086502075e-01, -2.385885444766699948e-08
1.520000100135803223e-01, 1.760781209725337249e-08, 1.999952346086502075e-01, -2.385842456931186462e-08
1.530000120401382446e-01, 1.760770196312932967e-08, 1.999952346086502075e-01, -2.385796449289045995e-08
1.540000140666961670e-01, 1.760758649993476865e-08, 1.999952346086502075e-01, -2.385747421840278548e-08
1.550000011920928955e-01, 1.760754742008430185e-08, 1.999952346086502075e-01, -2.385637287716235733e-08
1.560000032186508179e-01, 1.760747991852440464e-08, 1.999952346086502075e-01, -2.385570674334758223e-08
1.570000052452087402e-01, 1.760741596967818623e-08, 1.999952346086502075e-01, -2.385547581695846020e-08
1.580000072717666626e-01, 1.760734491540461022e-08, 1.999952346086502075e-01, -2.385521646885990776e-08
1.590000092983245850e-01, 1.760726853206051601e-08, 1.999952346086502075e-01, -2.385492692269508552e-08
1.600000113248825073e-01, 1.760718681964590360e-08, 1.999952346086502075e-01, -2.385460717846399348e-08
1.610000133514404297e-01, 1.760709800180393358e-08, 1.999952346086502075e-01, -2.385425901252347103e-08
1.620000004768371582e-01, 1.760700207853460597e-08, 1.999952346086502075e-01, -2.385388064851667878e-08
1.630000025033950806e-01, 1.760690082619476016e-08, 1.999952346086502075e-01, -2.385347208644361672e-08
1.640000045299530029e-01, 1.760679424478439614e-08, 1.999952346086502075e-01, -2.385303332630428486e-08
1.650000065565109253e-01, 1.760668233430351393e-08, 1.999952346086502075e-01, -2.385256436809868319e-08
1.660000085830688477e-01, 1.760656331839527411e-08, 1.999952346086502075e-01, -2.385206698818365112e-08
1.670000106096267700e-01, 1.760643719705967669e-08, 1.999952346086502075e-01, -2.385153941020234925e-08
1.680000126361846924e-01, 1.760638923542501288e-08, 1.999952346086502075e-01, -2.385039898911145428e-08
1.690000146627426147e-01, 1.760631462843775807e-08, 1.999952346086502075e-01, -2.384969555180305179e-08
1.700000017881393433e-01, 1.760624357416418206e-08, 1.999952346086502075e-01, -2.384942909827714175e-08
1.710000038146972656e-01, 1.760616541446324845e-08, 1.999952346086502075e-01, -2.384913244668496191e-08
1.720000058412551880e-01, 1.760608192569179664e-08, 1.999952346086502075e-01, -2.384880559702651226e-08
1.730000078678131104e-01, 1.760599133149298723e-08, 1.999952346086502075e-01, -2.384844854930179281e-08
1.740000098943710327e-01, 1.760589363186682021e-08, 1.999952346086502075e-01, -2.384806130351080355e-08
1.750000119209289551e-01, 1.760579060317013500e-08, 1.999952346086502075e-01, -2.384764563601038390e-08
1.760000139474868774e-01, 1.760568224540293158e-08, 1.999952346086502075e-01, -2.384719977044369443e-08
1.770000010728836060e-01, 1.760556855856520997e-08, 1.999952346086502075e-01, -2.384672370681073517e-08
1.780000030994415283e-01, 1.760544954265697015e-08, 1.999952346086502075e-01, -2.384621922146834549e-08
1.790000051259994507e-01, 1.760540691009282455e-08, 1.999952346086502075e-01, -2.384510189301636274e-08
1.800000071525573730e-01, 1.760533585581924854e-08, 1.999952346086502075e-01, -2.384441977199003304e-08
1.810000091791152954e-01, 1.760526835425935133e-08, 1.999952346086502075e-01, -2.384417463474619581e-08
1.820000112056732178e-01, 1.760519374727209652e-08, 1.999952346086502075e-01, -2.384389929943608877e-08
1.830000132322311401e-01, 1.760511381121432350e-08, 1.999952346086502075e-01, -2.384359376605971192e-08
1.840000152587890625e-01, 1.760502854608603229e-08, 1.999952346086502075e-01, -2.384325803461706528e-08
